Player,Age,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year,MVP,W/L%,SRS,Playoffs
Peja Stojaković,26,SAC,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,2004,False,0.6709999999999999,5.41,True
Kobe Bryant,25,LAL,0.172,65,37.6,24.0,5.5,5.1,1.7,0.4,0.43799999999999994,0.327,0.852,10.7,0.21,2004,False,0.6829999999999999,4.35,True
Shaquille O'Neal,31,LAL,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,0.0,0.49,9.9,0.192,2004,False,0.6829999999999999,4.35,True
Ben Wallace,29,DET,0.02,81,37.7,9.5,12.4,1.7,1.8,3.0,0.42100000000000004,0.125,0.49,10.2,0.16,2004,False,0.659,5.04,True
Jason Kidd,30,NJN,0.013999999999999999,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.8270000000000001,7.2,0.141,2004,False,0.573,1.88,True
LeBron James,19,CLE,0.009000000000000001,79,39.5,20.9,5.5,5.9,1.6,0.7,0.41700000000000004,0.29,0.754,5.1,0.078,2004,False,0.42700000000000005,-3.07,False
Sam Cassell,34,MIN,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.39799999999999996,0.873,12.1,0.205,2004,False,0.7070000000000001,5.86,True
Baron Davis,24,NOH,0.003,67,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.6729999999999999,7.5,0.133,2004,False,0.5,-0.72,True
Dirk Nowitzki,25,DAL,0.003,77,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19,2004,False,0.634,4.86,True
Andrei Kirilenko,22,UTA,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,0.44299999999999995,0.33799999999999997,0.79,11.6,0.192,2004,False,0.512,-0.53,False
Carmelo Anthony,19,DEN,0.001,82,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,2004,False,0.524,1.65,True
Yao Ming,23,HOU,0.001,82,32.8,17.5,9.0,1.5,0.3,1.9,0.522,0.0,0.809,11.4,0.20199999999999999,2004,False,0.5489999999999999,2.28,True
Michael Redd,24,MIL,0.001,82,36.8,21.7,5.0,2.3,1.0,0.1,0.44,0.35,0.868,9.7,0.154,2004,False,0.5,0.42,True
Steve Nash,30,PHO,0.8390000000000001,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,2005,True,0.7559999999999999,7.08,True
Shaquille O'Neal,32,MIA,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,0.0,0.461,11.0,0.21100000000000002,2005,False,0.72,5.77,True
Dirk Nowitzki,26,DAL,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.45899999999999996,0.39899999999999997,0.8690000000000001,15.6,0.248,2005,False,0.7070000000000001,5.86,True
Tim Duncan,28,SAS,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.33299999999999996,0.67,11.2,0.245,2005,False,0.72,7.84,True
Allen Iverson,29,PHI,0.18899999999999997,75,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136,2005,False,0.524,-1.07,True
LeBron James,20,CLE,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,0.47200000000000003,0.35100000000000003,0.75,14.3,0.203,2005,False,0.512,0.27,False
Tracy McGrady,25,HOU,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18,2005,False,0.622,4.27,True
Dwyane Wade,23,MIA,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,2005,False,0.72,5.77,True
Amar'e Stoudemire,22,PHO,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,0.5589999999999999,0.188,0.733,14.6,0.243,2005,False,0.7559999999999999,7.08,True
Ray Allen,29,SEA,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,2005,False,0.634,2.59,True
Kevin Garnett,28,MIN,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.8109999999999999,16.1,0.248,2005,False,0.537,1.73,False
Gilbert Arenas,23,WAS,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.8140000000000001,11.5,0.16899999999999998,2005,False,0.5489999999999999,-0.71,True
P.J. Brown,35,NOH,0.001,82,34.4,10.8,9.0,2.2,0.9,0.6,0.446,0.0,0.8640000000000001,6.9,0.11800000000000001,2005,False,0.22,-6.3,False
Marcus Camby,30,DEN,0.001,66,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138,2005,False,0.598,2.23,True
Shawn Marion,26,PHO,0.001,81,38.8,19.4,11.3,1.9,2.0,1.5,0.47600000000000003,0.33399999999999996,0.833,12.5,0.191,2005,False,0.7559999999999999,7.08,True
Steve Nash,31,PHO,0.7390000000000001,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.9209999999999999,12.4,0.212,2006,True,0.659,5.48,True
LeBron James,21,CLE,0.55,79,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.23199999999999998,2006,False,0.61,2.17,True
Dirk Nowitzki,27,DAL,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.9009999999999999,17.7,0.275,2006,False,0.732,5.96,True
Kobe Bryant,27,LAL,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.34700000000000003,0.85,15.3,0.22399999999999998,2006,False,0.5489999999999999,2.53,True
Chauncey Billups,29,DET,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,2006,False,0.78,6.24,True
Dwyane Wade,24,MIA,0.07,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.7829999999999999,14.4,0.239,2006,False,0.634,3.59,True
Elton Brand,26,LAC,0.04,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.33299999999999996,0.775,14.8,0.22899999999999998,2006,False,0.573,1.75,True
Tim Duncan,29,SAS,0.026000000000000002,80,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8,0.187,2006,False,0.768,6.69,True
Tony Parker,23,SAS,0.006999999999999999,80,33.9,18.9,3.3,5.8,1.0,0.1,0.5479999999999999,0.306,0.7070000000000001,9.6,0.16899999999999998,2006,False,0.768,6.69,True
Allen Iverson,30,PHI,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.32299999999999995,0.8140000000000001,10.6,0.165,2006,False,0.46299999999999997,-2.1,False
Shawn Marion,27,PHO,0.001,81,40.3,21.8,11.8,1.8,2.0,1.7,0.525,0.331,0.809,14.6,0.214,2006,False,0.659,5.48,True
Dirk Nowitzki,28,DAL,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.41600000000000004,0.904,16.3,0.278,2007,True,0.8170000000000001,7.28,True
Steve Nash,32,PHO,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,2007,False,0.7440000000000001,7.28,True
Kobe Bryant,28,LAL,0.40399999999999997,77,40.8,31.6,5.7,5.4,1.4,0.5,0.46299999999999997,0.344,0.868,13.0,0.19899999999999998,2007,False,0.512,0.24,True
Tim Duncan,30,SAS,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23,2007,False,0.7070000000000001,8.35,True
LeBron James,22,CLE,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,0.47600000000000003,0.319,0.698,13.7,0.20600000000000002,2007,False,0.61,3.33,True
Tracy McGrady,27,HOU,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.7070000000000001,8.6,0.163,2007,False,0.634,5.04,True
Chris Bosh,22,TOR,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.34299999999999997,0.785,9.6,0.174,2007,False,0.573,0.61,True
Gilbert Arenas,25,WAS,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.35100000000000003,0.8440000000000001,10.8,0.177,2007,False,0.5,-0.8,True
Carlos Boozer,25,UTA,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,0.561,0.0,0.685,9.9,0.185,2007,False,0.622,3.06,True
Kevin Garnett,30,MIN,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.47600000000000003,0.214,0.835,10.7,0.171,2007,False,0.39,-3.16,False
Chauncey Billups,30,DET,0.003,70,36.2,17.0,3.4,7.2,1.2,0.2,0.42700000000000005,0.345,0.883,11.4,0.21600000000000003,2007,False,0.6459999999999999,3.69,True
Shaquille O'Neal,34,MIA,0.002,40,28.4,17.3,7.4,2.0,0.2,1.4,0.591,0.0,0.42200000000000004,2.8,0.11900000000000001,2007,False,0.537,-1.21,True
Dwyane Wade,25,MIA,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.21899999999999997,2007,False,0.537,-1.21,True
